CODIGO,DESC_CODIGO,CLASIFICADOR_CODIGO
331419,Fundición y refinación de otros metales no ferrosos ,Clase
33142,Laminación secundaria de cobre,Subrama
331420,Laminación secundaria de cobre ,Clase
33149,Laminación secundaria de otros metales no ferrosos,Subrama
331490,Laminación secundaria de otros metales no ferrosos ,Clase
3315,Moldeo por fundición de piezas metálicas,Rama
33151,Moldeo por fundición de piezas de hierro y acero,Subrama
331510,Moldeo por fundición de piezas de hierro y acero ,Clase
33152,Moldeo por fundición de piezas metálicas no ferrosas,Subrama
331520,Moldeo por fundición de piezas metálicas no ferrosas ,Clase
332,Fabricación de productos metálicos,Subsector
3321,Fabricación de productos metálicos forjados y troquelados,Rama
33211,Fabricación de productos metálicos forjados y troquelados,Subrama
332110,Fabricación de productos metálicos forjados y troquelados ,Clase
3322,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Rama
33221,Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,Subrama
332211,Fabricación de herramientas de mano metálicas sin motor ,Clase
332212,Fabricación de utensilios de cocina metálicos ,Clase
3323,Fabricación de estructuras metálicas y productos de herrería,Rama
33231,Fabricación de estructuras metálicas,Subrama
332310,Fabricación de estructuras metálicas ,Clase
33232,Fabricación de productos de herrería,Subrama
332320,Fabricación de productos de herrería ,Clase
3324,"Fabricación de calderas, tanques y envases metálicos",Rama
33241,Fabricación de calderas industriales,Subrama
332410,Fabricación de calderas industriales ,Clase
33242,Fabricación de tanques metálicos de calibre grueso,Subrama
332420,Fabricación de tanques metálicos de calibre grueso ,Clase
33243,Fabricación de envases metálicos de calibre ligero,Subrama
332430,Fabricación de envases metálicos de calibre ligero ,Clase
3325,Fabricación de herrajes y cerraduras,Rama
33251,Fabricación de herrajes y cerraduras,Subrama
332510,Fabricación de herrajes y cerraduras ,Clase
3326,"Fabricación de alambre, productos de alambre y resortes",Rama
33261,"Fabricación de alambre, productos de alambre y resortes",Subrama
332610,"Fabricación de alambre, productos de alambre y resortes ",Clase
3327,Maquinado de piezas y fabricación de tornillos,Rama
33271,Maquinado de piezas para maquinaria y equipo en general,Subrama
332710,Maquinado de piezas para maquinaria y equipo en general ,Clase
33272,"Fabricación de tornillos, tuercas, remaches y similares",Subrama
332720,"Fabricación de tornillos, tuercas, remaches y similares ",Clase
3328,Recubrimientos y terminados metálicos,Rama
33281,Recubrimientos y terminados metálicos,Subrama
332810,Recubrimientos y terminados metálicos ,Clase
3329,Fabricación de otros productos metálicos,Rama
33291,Fabricación de válvulas metálicas,Subrama
332910,Fabricación de válvulas metálicas ,Clase
33299,Fabricación de otros productos metálicos,Subrama
332991,Fabricación de baleros y rodamientos ,Clase
332999,Fabricación de otros productos metálicos ,Clase
333,Fabricación de maquinaria y equipo,Subsector
3331,"Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",Rama
33311,Fabricación de maquinaria y equipo agropecuario,Subrama
333111,Fabricación de maquinaria y equipo agrícola ,Clase
333112,Fabricación de maquinaria y equipo pecuario ,Clase
33312,Fabricación de maquinaria y equipo para la construcción,Subrama
333120,Fabricación de maquinaria y equipo para la construcción ,Clase
33313,Fabricación de maquinaria y equipo para la industria extractiva,Subrama
333130,Fabricación de maquinaria y equipo para la industria extractiva ,Clase
3332,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Rama
33324,"Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",Subrama
333241,Fabricación de maquinaria y equipo para la industria de la madera ,Clase
333242,Fabricación de maquinaria y equipo para la industria del hule y del plástico ,Clase
333243,Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas ,Clase
333244,Fabricación de maquinaria y equipo para la industria textil ,Clase
333245,Fabricación de maquinaria y equipo para la industria de la impresión ,Clase
333246,Fabricación de maquinaria y equipo para la industria del vidrio y otros minerales no metálicos ,Clase
333249,Fabricación de maquinaria y equipo para otras industrias manufactureras ,Clase
3333,Fabricación de maquinaria y equipo para el comercio y los servicios,Rama
33331,Fabricación de maquinaria y equipo para el comercio y los servicios,Subrama
333311,Fabricación de aparatos fotográficos ,Clase
333312,Fabricación de máquinas fotocopiadoras ,Clase
333319,Fabricación de otra maquinaria y equipo para el comercio y los servicios ,Clase
3334,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",Rama
33341,"Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",Subrama
333411,Fabricación de equipo de aire acondicionado y calefacción ,Clase
333412,Fabricación de equipo de refrigeración industrial y comercial ,Clase
3335,Fabricación de maquinaria y equipo para la industria metalmecánica,Rama
33351,Fabricación de maquinaria y equipo para la industria metalmecánica,Subrama
333510,Fabricación de maquinaria y equipo para la industria metalmecánica ,Clase
3336,"Fabricación de motores de combustión interna, turbinas y transmisiones",Rama
33361,"Fabricación de motores de combustión interna, turbinas y transmisiones",Subrama
333610,"Fabricación de motores de combustión interna, turbinas y transmisiones ",Clase
3339,Fabricación de otra maquinaria y equipo para la industria en general,Rama
33391,Fabricación de bombas y sistemas de bombeo,Subrama
333910,Fabricación de bombas y sistemas de bombeo ,Clase
33392,Fabricación de maquinaria y equipo para levantar y trasladar,Subrama
333920,Fabricación de maquinaria y equipo para levantar y trasladar ,Clase
33399,Fabricación de otra maquinaria y equipo para la industria en general,Subrama
333991,Fabricación de equipo para soldar y soldaduras ,Clase
333992,Fabricación de maquinaria y equipo para envasar y empacar ,Clase
333993,Fabricación de aparatos e instrumentos para pesar ,Clase
333999,Fabricación de otra maquinaria y equipo para la industria en general ,Clase
334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",Subsector
3341,Fabricación de computadoras y equipo periférico,Rama
33411,Fabricación de computadoras y equipo periférico,Subrama
334110,Fabricación de computadoras y equipo periférico ,Clase
3342,Fabricación de equipo de comunicación,Rama
33421,Fabricación de equipo telefónico,Subrama
334210,Fabricación de equipo telefónico ,Clase
33422,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico",Subrama
334220,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico ",Clase
33429,Fabricación de otros equipos de comunicación,Subrama
334290,Fabricación de otros equipos de comunicación ,Clase
3343,Fabricación de equipo de audio y de video,Rama
33431,Fabricación de equipo de audio y de video,Subrama
334310,Fabricación de equipo de audio y de video ,Clase
3344,Fabricación de componentes electrónicos,Rama
33441,Fabricación de componentes electrónicos,Subrama
334410,Fabricación de componentes electrónicos ,Clase
3345,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Rama
33451,"Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",Subrama
334511,Fabricación de relojes ,Clase
334519,"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico ",Clase
3346,Fabricación y reproducción de medios magnéticos y ópticos,Rama
33461,Fabricación y reproducción de medios magnéticos y ópticos,Subrama
334610,Fabricación y reproducción de medios magnéticos y ópticos ,Clase
335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",Subsector
3351,Fabricación de accesorios de iluminación,Rama
33511,Fabricación de focos,Subrama
335110,Fabricación de focos ,Clase
33512,Fabricación de lámparas ornamentales,Subrama
335120,Fabricación de lámparas ornamentales ,Clase
3352,Fabricación de aparatos eléctricos de uso doméstico,Rama
33521,Fabricación de enseres electrodomésticos menores,Subrama
335210,Fabricación de enseres electrodomésticos menores ,Clase
33522,Fabricación de aparatos de línea blanca,Subrama
335220,Fabricación de aparatos de línea blanca ,Clase
3353,Fabricación de equipo de generación y distribución de energía eléctrica,Rama
33531,Fabricación de equipo de generación y distribución de energía eléctrica,Subrama
335311,Fabricación de motores y generadores eléctricos ,Clase
335312,Fabricación de equipo y aparatos de distribución de energía eléctrica ,Clase
3359,Fabricación de otros equipos y accesorios eléctricos,Rama
33591,Fabricación de acumuladores y pilas,Subrama
335910,Fabricación de acumuladores y pilas ,Clase
33592,Fabricación de cables de conducción eléctrica,Subrama
335920,Fabricación de cables de conducción eléctrica ,Clase
33593,"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas",Subrama
335930,"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas ",Clase
33599,Fabricación de otros productos eléctricos,Subrama
335991,Fabricación de productos eléctricos de carbón y grafito ,Clase
335999,Fabricación de otros productos eléctricos ,Clase
336,Fabricación de equipo de transporte,Subsector
3361,Fabricación de automóviles y camiones,Rama
33611,Fabricación de automóviles y camionetas,Subrama
336110,Fabricación de automóviles y camionetas ,Clase
33612,Fabricación de camiones y tractocamiones,Subrama
336120,Fabricación de camiones y tractocamiones ,Clase
3362,Fabricación de carrocerías y remolques,Rama
33621,Fabricación de carrocerías y remolques,Subrama
336210,Fabricación de carrocerías y remolques ,Clase
3363,Fabricación de partes para vehículos automotores,Rama
33631,Fabricación de motores y sus partes para vehículos automotrices,Subrama
336310,Fabricación de motores y sus partes para vehículos automotrices ,Clase
33632,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores,Subrama
336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores ,Clase
33633,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,Subrama
336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices ,Clase
33634,Fabricación de partes de sistemas de frenos para vehículos automotrices,Subrama
336340,Fabricación de partes de sistemas de frenos para vehículos automotrices ,Clase
33635,Fabricación de partes de sistemas de transmisión para vehículos automotores,Subrama
336350,Fabricación de partes de sistemas de transmisión para vehículos automotores ,Clase
33636,Fabricación de asientos y accesorios interiores para vehículos automotores,Subrama
336360,Fabricación de asientos y accesorios interiores para vehículos automotores ,Clase
33637,Fabricación de piezas metálicas troqueladas para vehículos automotrices,Subrama
336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices ,Clase
33639,Fabricación de otras partes para vehículos automotrices,Subrama
336390,Fabricación de otras partes para vehículos automotrices ,Clase
3364,Fabricación de equipo aeroespacial,Rama
33641,Fabricación de equipo aeroespacial,Subrama
336410,Fabricación de equipo aeroespacial ,Clase
3365,Fabricación de equipo ferroviario,Rama
33651,Fabricación de equipo ferroviario,Subrama
336510,Fabricación de equipo ferroviario ,Clase
3366,Fabricación de embarcaciones,Rama
33661,Fabricación de embarcaciones,Subrama
336610,Fabricación de embarcaciones ,Clase
3369,Fabricación de otro equipo de transporte,Rama
33699,Fabricación de otro equipo de transporte,Subrama
336991,Fabricación de motocicletas ,Clase
336992,Fabricación de bicicletas y triciclos ,Clase
336999,Fabricación de otro equipo de transporte ,Clase
337,"Fabricación de muebles, colchones y persianas",Subsector
3371,"Fabricación de muebles, excepto de oficina y estantería",Rama
33711,Fabricación de cocinas integrales y muebles modulares de baño,Subrama
337110,Fabricación de cocinas integrales y muebles modulares de baño ,Clase
33712,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",Subrama
337120,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería ",Clase
3372,Fabricación de muebles de oficina y estantería,Rama
33721,Fabricación de muebles de oficina y estantería,Subrama
337210,Fabricación de muebles de oficina y estantería ,Clase
3379,"Fabricación de colchones, persianas y cortineros",Rama
33791,Fabricación de colchones,Subrama
337910,Fabricación de colchones ,Clase
33792,Fabricación de persianas y cortineros,Subrama
337920,Fabricación de persianas y cortineros ,Clase
339,Otras industrias manufactureras,Subsector
3391,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Rama
33911,"Fabricación de equipo no electrónico y material desechable de uso médico, dental y para laboratorio, y artículos oftálmicos",Subrama
339111,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio ",Clase
339112,Fabricación de material desechable de uso médico ,Clase
339113,Fabricación de artículos oftálmicos ,Clase
3399,Otras industrias manufactureras,Rama
33991,Metalistería y joyería,Subrama
339911,Acuñación e impresión de monedas ,Clase
339912,Orfebrería y joyería de metales y piedras preciosos ,Clase
339913,Joyería de metales y piedras no preciosos y de otros materiales ,Clase
339914,Metalistería de metales no preciosos ,Clase
33992,Fabricación de artículos deportivos,Subrama
339920,Fabricación de artículos deportivos ,Clase
33993,Fabricación de juguetes,Subrama
339930,Fabricación de juguetes ,Clase
33994,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina",Subrama
339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina ",Clase
33995,Fabricación de anuncios y señalamientos,Subrama
339950,Fabricación de anuncios y señalamientos ,Clase
33999,Otras industrias manufactureras,Subrama
339991,Fabricación de instrumentos musicales ,Clase
339992,"Fabricación de cierres, botones y agujas ",Clase
339993,"Fabricación de escobas, cepillos y similares ",Clase
339994,Fabricación de velas y veladoras ,Clase
339995,Fabricación de ataúdes ,Clase
339999,Otras industrias manufactureras ,Clase
43,Comercio al por mayor,Sector
431,"Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco ",Subsector
4311,Comercio al por mayor de abarrotes y alimentos ,Rama
43111,Comercio al por mayor de abarrotes ,Subrama
431110,Comercio al por mayor de abarrotes ,Clase
43112,Comercio al por mayor de carnes ,Subrama
431121,Comercio al por mayor de carnes rojas ,Clase
431122,Comercio al por mayor de carne de aves ,Clase
431123,Comercio al por mayor de pescados y mariscos ,Clase
43113,Comercio al por mayor de frutas y verduras frescas ,Subrama
431130,Comercio al por mayor de frutas y verduras frescas ,Clase
43114,Comercio al por mayor de huevo ,Subrama
431140,Comercio al por mayor de huevo ,Clase
43115,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos ",Subrama
431150,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos ",Clase
43116,Comercio al por mayor de leche y otros productos lácteos ,Subrama
431160,Comercio al por mayor de leche y otros productos lácteos ,Clase
43117,Comercio al por mayor de embutidos ,Subrama
431170,Comercio al por mayor de embutidos ,Clase
43118,Comercio al por mayor de dulces y materias primas para repostería ,Subrama
431180,Comercio al por mayor de dulces y materias primas para repostería ,Clase
43119,Comercio al por mayor de otros alimentos ,Subrama
431191,Comercio al por mayor de pan y pasteles ,Clase
431192,Comercio al por mayor de botanas y frituras ,Clase
431193,Comercio al por mayor de conservas alimenticias ,Clase
431194,Comercio al por mayor de miel ,Clase
431199,Comercio al por mayor de otros alimentos ,Clase
4312,"Comercio al por mayor de bebidas, hielo y tabaco ",Rama
43121,Comercio al por mayor de bebidas y hielo ,Subrama
431211,Comercio al por mayor de bebidas no alcohólicas y hielo ,Clase
431212,Comercio al por mayor de vinos y licores ,Clase
431213,Comercio al por mayor de cerveza ,Clase
43122,"Comercio al por mayor de cigarros, puros y tabaco ",Subrama
431220,"Comercio al por mayor de cigarros, puros y tabaco ",Clase
432,Comercio al por mayor de productos textiles y calzado ,Subsector
4321,Comercio al por mayor de productos textiles y calzado ,Rama
43211,"Comercio al por mayor de productos textiles, excepto ropa ",Subrama
432111,"Comercio al por mayor de fibras, hilos y telas ",Clase
432112,Comercio al por mayor de blancos ,Clase
432113,Comercio al por mayor de cueros y pieles ,Clase
432119,Comercio al por mayor de otros productos textiles ,Clase
43212,"Comercio al por mayor de ropa, bisutería y accesorios de vestir ",Subrama
432120,"Comercio al por mayor de ropa, bisutería y accesorios de vestir ",Clase
43213,Comercio al por mayor de calzado ,Subrama
432130,Comercio al por mayor de calzado ,Clase
433,"Comercio al por mayor de productos farmacéuticos, de perfumería, artículos para el esparcimiento, electrodomésticos menores y aparatos de línea blanca ",Subsector
4331,Comercio al por mayor de productos farmacéuticos ,Rama
43311,Comercio al por mayor de productos farmacéuticos ,Subrama
433110,Comercio al por mayor de productos farmacéuticos ,Clase
4332,"Comercio al por mayor de artículos de perfumería, cosméticos y joyería ",Rama
43321,Comercio al por mayor de artículos de perfumería y cosméticos ,Subrama
433210,Comercio al por mayor de artículos de perfumería y cosméticos ,Clase
43322,Comercio al por mayor de artículos de joyería y relojes ,Subrama
433220,Comercio al por mayor de artículos de joyería y relojes ,Clase
4333,"Comercio al por mayor de discos, juguetes y artículos deportivos ",Rama
43331,"Comercio al por mayor de discos, juguetes y artículos deportivos ",Subrama
433311,Comercio al por mayor de discos y casetes ,Clase
433312,Comercio al por mayor de juguetes y bicicletas ,Clase
433313,Comercio al por mayor de artículos y aparatos deportivos ,Clase
4334,"Comercio al por mayor de artículos de papelería, libros, revistas y periódicos ",Rama
43341,Comercio al por mayor de artículos de papelería ,Subrama
433410,Comercio al por mayor de artículos de papelería ,Clase
43342,Comercio al por mayor de libros ,Subrama
433420,Comercio al por mayor de libros ,Clase
43343,Comercio al por mayor de revistas y periódicos ,Subrama
433430,Comercio al por mayor de revistas y periódicos ,Clase
4335,Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca ,Rama
43351,Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca ,Subrama
433510,Comercio al por mayor de electrodomésticos menores y aparatos de línea blanca ,Clase
434,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho ",Subsector
4341,Comercio al por mayor de materias primas agropecuarias y forestales ,Rama
43411,Comercio al por mayor de materias primas agropecuarias y forestales ,Subrama
434111,"Comercio al por mayor de fertilizantes, plaguicidas y semillas para siembra ",Clase
434112,"Comercio al por mayor de medicamentos veterinarios y alimentos para animales, excepto mascotas ",Clase
4342,Comercio al por mayor de materias primas para la industria ,Rama
43421,"Comercio al por mayor de materiales para la construcción, excepto de madera y metálicos ",Subrama
434211,"Comercio al por mayor de cemento, tabique y grava ",Clase
434219,"Comercio al por mayor de otros materiales para la construcción, excepto de madera y metálicos ",Clase
43422,Comercio al por mayor de otros materiales para la construcción y materias primas para otras industrias ,Subrama
434221,Comercio al por mayor de materiales metálicos para la construcción y la manufactura ,Clase
434222,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial ,Clase
434223,"Comercio al por mayor de envases en general, papel y cartón para la industria ",Clase
434224,Comercio al por mayor de madera para la construcción y la industria ,Clase
434225,Comercio al por mayor de equipo y material eléctrico ,Clase
434226,Comercio al por mayor de pintura ,Clase
434227,Comercio al por mayor de vidrios y espejos ,Clase
434228,Comercio al por mayor de ganado y aves en pie ,Clase
434229,Comercio al por mayor de otras materias primas para otras industrias ,Clase
43423,Comercio al por mayor de combustibles de uso industrial ,Subrama
434230,Comercio al por mayor de combustibles de uso industrial ,Clase
43424,Comercio al por mayor de artículos desechables ,Subrama
434240,Comercio al por mayor de artículos desechables ,Clase
4343,Comercio al por mayor de materiales de desecho ,Rama
43431,Comercio al por mayor de materiales de desecho ,Subrama
434311,Comercio al por mayor de desechos metálicos ,Clase
434312,Comercio al por mayor de desechos de papel y de cartón ,Clase
434313,Comercio al por mayor de desechos de vidrio ,Clase
434314,Comercio al por mayor de desechos de plástico ,Clase
434319,Comercio al por mayor de otros materiales de desecho ,Clase
435,"Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general ",Subsector
4351,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca ",Rama
43511,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca ",Subrama
435110,"Comercio al por mayor de maquinaria y equipo agropecuario, forestal y para la pesca ",Clase
4352,Comercio al por mayor de maquinaria y equipo para la industria ,Rama
43521,Comercio al por mayor de maquinaria y equipo para la construcción y la minería ,Subrama
435210,Comercio al por mayor de maquinaria y equipo para la construcción y la minería ,Clase
43522,Comercio al por mayor de maquinaria y equipo para la industria manufacturera ,Subrama
435220,Comercio al por mayor de maquinaria y equipo para la industria manufacturera ,Clase
4353,Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales ,Rama
43531,Comercio al por mayor de maquinaria y equipo para los servicios y para actividades comerciales ,Subrama
435311,"Comercio al por mayor de equipo de telecomunicaciones, fotografía y cinematografía ",Clase
435312,Comercio al por mayor de artículos y accesorios para diseño y pintura artística ,Clase
435313,"Comercio al por mayor de mobiliario, equipo e instrumental médico y de laboratorio ",Clase
435319,Comercio al por mayor de maquinaria y equipo para otros servicios y para actividades comerciales ,Clase
4354,"Comercio al por mayor de mobiliario y equipo de cómputo y de oficina, y de otra maquinaria y equipo de uso general ",Rama
43541,"Comercio al por mayor de mobiliario y equipo de cómputo y de oficina, y de otra maquinaria y equipo de uso general ",Subrama
435411,"Comercio al por mayor de mobiliario, equipo, y accesorios de cómputo ",Clase
435412,Comercio al por mayor de mobiliario y equipo de oficina ,Clase
435419,Comercio al por mayor de otra maquinaria y equipo de uso general ,Clase
436,"Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones ",Subsector
4361,"Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones ",Rama
43611,"Comercio al por mayor de camiones y de partes y refacciones nuevas para automóviles, camionetas y camiones ",Subrama
436111,Comercio al por mayor de camiones ,Clase
436112,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones ",Clase
437,Intermediación de comercio al por mayor ,Subsector
4371,"Intermediación de comercio al por mayor, excepto a través de internet y de otros medios electrónicos ",Rama
43711,"Intermediación de comercio al por mayor, excepto a través de internet y de otros medios electrónicos ",Subrama
437111,"Intermediación de comercio al por mayor de productos agropecuarios, excepto a través de internet y de otros medios electrónicos ",Clase
437112,"Intermediación de comercio al por mayor de productos para la industria, el comercio y los servicios, excepto a través de internet y de otros medios electrónicos ",Clase
437113,"Intermediación de comercio al por mayor para productos de uso doméstico y personal, excepto a través de internet y de otros medios electrónicos ",Clase
4372,Intermediación de comercio al por mayor exclusivamente a través de internet y otros medios electrónicos ,Rama
43721,Intermediación de comercio al por mayor exclusivamente a través de internet y otros medios electrónicos ,Subrama
437210,Intermediación de comercio al por mayor exclusivamente a través de internet y otros medios electrónicos ,Clase
46,Comercio al por menor,Sector
461,"Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco ",Subsector
4611,Comercio al por menor de abarrotes y alimentos ,Rama
46111,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas ",Subrama
461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas ",Clase
46112,Comercio al por menor de carnes ,Subrama
461121,Comercio al por menor de carnes rojas ,Clase
461122,Comercio al por menor de carne de aves ,Clase
461123,Comercio al por menor de pescados y mariscos ,Clase
46113,Comercio al por menor de frutas y verduras frescas ,Subrama
461130,Comercio al por menor de frutas y verduras frescas ,Clase
46114,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos ",Subrama
461140,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos ",Clase
46115,"Comercio al por menor de leche, otros productos lácteos y embutidos ",Subrama
461150,"Comercio al por menor de leche, otros productos lácteos y embutidos ",Clase
46116,Comercio al por menor de dulces y materias primas para repostería ,Subrama
461160,Comercio al por menor de dulces y materias primas para repostería ,Clase
46117,Comercio al por menor de paletas de hielo y helados ,Subrama
461170,Comercio al por menor de paletas de hielo y helados ,Clase
46119,Comercio al por menor de otros alimentos ,Subrama
461190,Comercio al por menor de otros alimentos ,Clase
4612,"Comercio al por menor de bebidas, hielo y tabaco ",Rama
46121,Comercio al por menor de bebidas y hielo ,Subrama
461211,Comercio al por menor de vinos y licores ,Clase
461212,Comercio al por menor de cerveza ,Clase
461213,Comercio al por menor de bebidas no alcohólicas y hielo ,Clase
46122,"Comercio al por menor de cigarros, puros y tabaco ",Subrama
461220,"Comercio al por menor de cigarros, puros y tabaco ",Clase
462,Comercio al por menor en tiendas de autoservicio y departamentales ,Subsector
4621,Comercio al por menor en tiendas de autoservicio ,Rama
46211,Comercio al por menor en tiendas de autoservicio ,Subrama
462111,Comercio al por menor en supermercados ,Clase
462112,Comercio al por menor en minisupers ,Clase
4622,Comercio al por menor en tiendas departamentales ,Rama
46221,Comercio al por menor en tiendas departamentales ,Subrama
462210,Comercio al por menor en tiendas departamentales ,Clase
463,"Comercio al por menor de productos textiles, bisutería, accesorios de vestir y calzado ",Subsector
4631,"Comercio al por menor de productos textiles, excepto ropa ",Rama
46311,"Comercio al por menor de productos textiles, excepto ropa ",Subrama
463111,Comercio al por menor de telas ,Clase
463112,Comercio al por menor de blancos ,Clase
463113,Comercio al por menor de artículos de mercería y bonetería ,Clase
4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir ",Rama
46321,"Comercio al por menor de ropa, bisutería y accesorios de vestir ",Subrama
463211,"Comercio al por menor de ropa, excepto de bebé y lencería ",Clase
463212,Comercio al por menor de ropa de bebé ,Clase
463213,Comercio al por menor de lencería ,Clase
463214,"Comercio al por menor de disfraces, vestimenta regional y vestidos de novia ",Clase
463215,Comercio al por menor de bisutería y accesorios de vestir ,Clase
463216,Comercio al por menor de ropa de cuero y piel y de otros artículos de estos materiales ,Clase
463217,Comercio al por menor de pañales desechables ,Clase
463218,Comercio al por menor de sombreros ,Clase
4633,Comercio al por menor de calzado ,Rama
46331,Comercio al por menor de calzado ,Subrama
463310,Comercio al por menor de calzado ,Clase
464,Comercio al por menor de artículos para el cuidado de la salud ,Subsector
4641,Comercio al por menor de artículos para el cuidado de la salud ,Rama
46411,Comercio al por menor de productos farmacéuticos y naturistas ,Subrama
464111,Farmacias sin minisúper ,Clase
464112,Farmacias con minisúper ,Clase
464113,"Comercio al por menor de productos naturistas, medicamentos homeopáticos y de complementos alimenticios ",Clase
46412,Comercio al por menor de lentes y artículos ortopédicos ,Subrama
464121,Comercio al por menor de lentes ,Clase
464122,Comercio al por menor de artículos ortopédicos ,Clase
465,"Comercio al por menor de artículos de papelería, para el esparcimiento y otros artículos de uso personal ",Subsector
4651,Comercio al por menor de artículos de perfumería y joyería ,Rama
46511,Comercio al por menor de artículos de perfumería y joyería ,Subrama
465111,Comercio al por menor de artículos de perfumería y cosméticos ,Clase
465112,Comercio al por menor de artículos de joyería y relojes ,Clase
4652,Comercio al por menor de artículos para el esparcimiento ,Rama
46521,Comercio al por menor de artículos para el esparcimiento ,Subrama
465211,Comercio al por menor de discos y casetes ,Clase
465212,Comercio al por menor de juguetes ,Clase
465213,Comercio al por menor de bicicletas y triciclos ,Clase
465214,Comercio al por menor de equipo y material fotográfico ,Clase
465215,Comercio al por menor de artículos y aparatos deportivos ,Clase
465216,Comercio al por menor de instrumentos musicales ,Clase
4653,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos ",Rama
46531,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos ",Subrama
465311,Comercio al por menor de artículos de papelería ,Clase
465312,Comercio al por menor de libros ,Clase
465313,Comercio al por menor de revistas y periódicos ,Clase
4659,"Comercio al por menor de mascotas, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal ",Rama
46591,"Comercio al por menor de mascotas, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal ",Subrama
465911,Comercio al por menor de mascotas ,Clase
465912,Comercio al por menor de regalos ,Clase
465913,Comercio al por menor de artículos religiosos ,Clase
465914,Comercio al por menor de artículos desechables ,Clase
465915,Comercio al por menor en tiendas de artesanías ,Clase
465919,Comercio al por menor de otros artículos de uso personal ,Clase
466,"Comercio al por menor de enseres domésticos, computadoras, artículos para la decoración de interiores y artículos usados ",Subsector
4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos ,Rama
46611,Comercio al por menor de muebles para el hogar y otros enseres domésticos ,Subrama
466111,Comercio al por menor de muebles para el hogar ,Clase
466112,Comercio al por menor de electrodomésticos menores y aparatos de línea blanca ,Clase
466113,Comercio al por menor de muebles para jardín ,Clase
466114,"Comercio al por menor de cristalería, loza y utensilios de cocina ",Clase
4662,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación ",Rama
